point_A,point_B,n_vuelos,lat_A,long_A,lat_B,long_B,description
Chihuahua,Ciudad de Mexico,520,28.63568,-106.07592,19.43194,-99.13315,Se realizaron 520 vuelos entre los aeropuertos de Chihuahua y Ciudad de Mexico en Enero 2022
Chihuahua,Monterrey,88,28.63568,-106.07592,25.67093,-100.30999,Se realizaron 88 vuelos entre los aeropuertos de Chihuahua y Monterrey en Enero 2022
Chihuahua,Queretaro,23,28.63568,-106.07592,20.59209,-100.39601,Se realizaron 23 vuelos entre los aeropuertos de Chihuahua y Queretaro en Enero 2022
Chihuahua,Tijuana,63,28.63568,-106.07592,32.53507,-117.04097,Se realizaron 63 vuelos entre los aeropuertos de Chihuahua y Tijuana en Enero 2022
Ciudad Del Carmen,Ciudad de Mexico,184,18.65412,-91.78997,19.43194,-99.13315,Se realizaron 184 vuelos entre los aeropuertos de Ciudad Del Carmen y Ciudad de Mexico en Enero 2022
Ciudad Del Carmen,Queretaro,1,18.65412,-91.78997,20.59209,-100.39601,Se realizaron 1 vuelos entre los aeropuertos de Ciudad Del Carmen y Queretaro en Enero 2022
Ciudad Del Carmen,Tampico,33,18.65412,-91.78997,22.25172,-97.86479,Se realizaron 33 vuelos entre los aeropuertos de Ciudad Del Carmen y Tampico en Enero 2022
Ciudad Del Carmen,Veracruz,28,18.65412,-91.78997,19.19535,-96.13683,Se realizaron 28 vuelos entre los aeropuertos de Ciudad Del Carmen y Veracruz en Enero 2022
Ciudad Juarez,Del Bajio,62,31.73836,-106.48776,20.66774,-101.33058,Se realizaron 62 vuelos entre los aeropuertos de Ciudad Juarez y Del Bajio en Enero 2022
Ciudad Juarez,Durango,32,31.73836,-106.48776,24.00683,-104.68135,Se realizaron 32 vuelos entre los aeropuertos de Ciudad Juarez y Durango en Enero 2022
Ciudad Juarez,Guadalajara,167,31.73836,-106.48776,20.68758,-103.35104,Se realizaron 167 vuelos entre los aeropuertos de Ciudad Juarez y Guadalajara en Enero 2022
Ciudad Juarez,Hermosillo,26,31.73836,-106.48776,29.07455,-110.95912,Se realizaron 26 vuelos entre los aeropuertos de Ciudad Juarez y Hermosillo en Enero 2022
Ciudad Juarez,Mazatlan,34,31.73836,-106.48776,23.2,-106.42175,Se realizaron 34 vuelos entre los aeropuertos de Ciudad Juarez y Mazatlan en Enero 2022
Ciudad Juarez,Ciudad de Mexico,441,31.73836,-106.48776,19.43194,-99.13315,Se realizaron 441 vuelos entre los aeropuertos de Ciudad Juarez y Ciudad de Mexico en Enero 2022
Ciudad Juarez,Monterrey,92,31.73836,-106.48776,25.67093,-100.30999,Se realizaron 92 vuelos entre los aeropuertos de Ciudad Juarez y Monterrey en Enero 2022
Ciudad Juarez,Puerto Vallarta,18,31.73836,-106.48776,20.60841,-105.23525,Se realizaron 18 vuelos entre los aeropuertos de Ciudad Juarez y Puerto Vallarta en Enero 2022
Ciudad Juarez,San Luis Potosi,2,31.73836,-106.48776,22.15271,-100.97663,Se realizaron 2 vuelos entre los aeropuertos de Ciudad Juarez y San Luis Potosi en Enero 2022
Ciudad Juarez,Tijuana,62,31.73836,-106.48776,32.53507,-117.04097,Se realizaron 62 vuelos entre los aeropuertos de Ciudad Juarez y Tijuana en Enero 2022
Ciudad Juarez,Torreon,32,31.73836,-106.48776,25.53938,-103.45327,Se realizaron 32 vuelos entre los aeropuertos de Ciudad Juarez y Torreon en Enero 2022
Ciudad Obregon,Guadalajara,54,27.4934,-109.93542,20.68758,-103.35104,Se realizaron 54 vuelos entre los aeropuertos de Ciudad Obregon y Guadalajara en Enero 2022
Ciudad Obregon,Los Cabos,2,27.4934,-109.93542,23.06158,-109.69529,Se realizaron 2 vuelos entre los aeropuertos de Ciudad Obregon y Los Cabos en Enero 2022
Ciudad Obregon,Ciudad de Mexico,158,27.4934,-109.93542,19.43194,-99.13315,Se realizaron 158 vuelos entre los aeropuertos de Ciudad Obregon y Ciudad de Mexico en Enero 2022
Ciudad Obregon,Monterrey,20,27.4934,-109.93542,25.67093,-100.30999,Se realizaron 20 vuelos entre los aeropuertos de Ciudad Obregon y Monterrey en Enero 2022
Ciudad Obregon,Tijuana,72,27.4934,-109.93542,32.53507,-117.04097,Se realizaron 72 vuelos entre los aeropuertos de Ciudad Obregon y Tijuana en Enero 2022
Ciudad Victoria,Ciudad de Mexico,25,23.7311,-99.15389,19.43194,-99.13315,Se realizaron 25 vuelos entre los aeropuertos de Ciudad Victoria y Ciudad de Mexico en Enero 2022
