city,country,n_vuelos,lat,long,description
St. Louis,United States,180,38.62775,-90.19956,Se realizaron 180 vuelos entre los aeropuertos de Cancun (Mexico) y St. Louis (United States) en Enero 2022
Tampa,United States,60,27.94653,-82.45927,Se realizaron 60 vuelos entre los aeropuertos de Cancun (Mexico) y Tampa (United States) en Enero 2022
Toronto,Canada,230,43.653524,-79.383907,Se realizaron 230 vuelos entre los aeropuertos de Cancun (Mexico) y Toronto (Canada) en Enero 2022
Vancouver,Canada,107,49.261636,-123.11335,Se realizaron 107 vuelos entre los aeropuertos de Cancun (Mexico) y Vancouver (Canada) en Enero 2022
Victoria,Canada,8,48.428409,-123.365642,Se realizaron 8 vuelos entre los aeropuertos de Cancun (Mexico) y Victoria (Canada) en Enero 2022
Washington,United States,122,38.89037,-77.03196,Se realizaron 122 vuelos entre los aeropuertos de Cancun (Mexico) y Washington (United States) en Enero 2022
Wien,Austria,26,48.20263,16.36842,Se realizaron 26 vuelos entre los aeropuertos de Cancun (Mexico) y Wien (Austria) en Enero 2022
Winnipeg,Canada,22,49.899897,-97.138865,Se realizaron 22 vuelos entre los aeropuertos de Cancun (Mexico) y Winnipeg (Canada) en Enero 2022
Zurich,Switzerland,28,47.37707,8.53956,Se realizaron 28 vuelos entre los aeropuertos de Cancun (Mexico) y Zurich (Switzerland) en Enero 2022
Miami,United States,18,25.77481,-80.19773,Se realizaron 18 vuelos entre los aeropuertos de Chetumal (Mexico) y Miami (United States) en Enero 2022
Dallas-Fort Worth,United States,174,32.737847021272,-97.236200260969,Se realizaron 174 vuelos entre los aeropuertos de Chihuahua (Mexico) y Dallas-Fort Worth (United States) en Enero 2022
Denver,United States,18,39.74001,-104.99202,Se realizaron 18 vuelos entre los aeropuertos de Chihuahua (Mexico) y Denver (United States) en Enero 2022
Dallas-Fort Worth,United States,68,32.737847021272,-97.236200260969,Se realizaron 68 vuelos entre los aeropuertos de Cozumel (Mexico) y Dallas-Fort Worth (United States) en Enero 2022
Denver,United States,22,39.74001,-104.99202,Se realizaron 22 vuelos entre los aeropuertos de Cozumel (Mexico) y Denver (United States) en Enero 2022
Houston,United States,123,29.76078,-95.36952,Se realizaron 123 vuelos entre los aeropuertos de Cozumel (Mexico) y Houston (United States) en Enero 2022
Los Angeles,United States,4,34.05357,-118.24545,Se realizaron 4 vuelos entre los aeropuertos de Cozumel (Mexico) y Los Angeles (United States) en Enero 2022
Miami,United States,60,25.77481,-80.19773,Se realizaron 60 vuelos entre los aeropuertos de Cozumel (Mexico) y Miami (United States) en Enero 2022
Minneapolis,United States,18,44.97902,-93.26494,Se realizaron 18 vuelos entre los aeropuertos de Cozumel (Mexico) y Minneapolis (United States) en Enero 2022
Philadelphia,United States,7,39.95222,-75.16218,Se realizaron 7 vuelos entre los aeropuertos de Cozumel (Mexico) y Philadelphia (United States) en Enero 2022
Toronto,Canada,10,43.653524,-79.383907,Se realizaron 10 vuelos entre los aeropuertos de Cozumel (Mexico) y Toronto (Canada) en Enero 2022
Phoenix,United States,44,33.44825,-112.0758,Se realizaron 44 vuelos entre los aeropuertos de Culiacan (Mexico) y Phoenix (United States) en Enero 2022
Fresno,United States,19,36.74095,-119.78536,Se realizaron 19 vuelos entre los aeropuertos de Del Bajio (Mexico) y Fresno (United States) en Enero 2022
Houston,United States,219,29.76078,-95.36952,Se realizaron 219 vuelos entre los aeropuertos de Del Bajio (Mexico) y Houston (United States) en Enero 2022
Los Angeles,United States,36,34.05357,-118.24545,Se realizaron 36 vuelos entre los aeropuertos de Del Bajio (Mexico) y Los Angeles (United States) en Enero 2022
Oakland,United States,40,37.80508,-122.27307,Se realizaron 40 vuelos entre los aeropuertos de Del Bajio (Mexico) y Oakland (United States) en Enero 2022
