,latitude,longitude,confidence,satellite,acq_date,daynight
203,25.6489,76.54775,86,A,2023-11-08,D
204,25.84361,77.96992,66,A,2023-11-08,D
205,25.66072,76.56672,53,A,2023-11-08,D
206,25.65933,76.55648,68,A,2023-11-08,D
207,25.98373,79.03396,60,A,2023-11-08,D
208,25.85621,77.99192,51,A,2023-11-08,D
209,25.68301,76.59447,67,A,2023-11-08,D
210,25.68371,76.53149,65,A,2023-11-08,D
211,25.93073,78.34779,51,A,2023-11-08,D
212,26.02129,79.11966,71,A,2023-11-08,D
213,26.04608,79.0606,62,A,2023-11-08,D
214,25.73256,76.55943,66,A,2023-11-08,D
215,25.73118,76.54918,74,A,2023-11-08,D
216,26.01413,78.70157,83,A,2023-11-08,D
217,25.78273,76.65638,100,A,2023-11-08,D
218,25.78134,76.64604,95,A,2023-11-08,D
219,25.79183,76.65488,83,A,2023-11-08,D
220,25.79043,76.64455,89,A,2023-11-08,D
221,25.81495,76.75714,72,A,2023-11-08,D
222,25.8047,76.61454,70,A,2023-11-08,D
223,25.80332,76.60423,53,A,2023-11-08,D
224,25.82976,76.66322,76,A,2023-11-08,D
225,25.85567,76.64835,58,A,2023-11-08,D
226,26.18874,79.13068,65,A,2023-11-08,D
227,25.93912,76.79935,71,A,2023-11-08,D
228,32.04819,35.27547,52,T,2023-11-08,D
229,31.59402,34.68806,62,T,2023-11-08,D
254,41.64186,35.90264,62,T,2023-11-08,D
255,41.60147,35.92279,70,T,2023-11-08,D
256,39.9409,44.03991,63,T,2023-11-08,D
257,40.34588,35.46108,51,T,2023-11-08,D
258,40.21779,35.12067,70,T,2023-11-08,D
259,40.20894,35.11861,56,T,2023-11-08,D
260,39.24842,36.98894,65,T,2023-11-08,D
261,37.79421,40.39822,68,T,2023-11-08,D
262,37.68856,40.71651,66,T,2023-11-08,D
263,38.51743,35.57632,66,T,2023-11-08,D
264,38.50866,35.57431,59,T,2023-11-08,D
265,37.83552,38.68084,68,T,2023-11-08,D
266,37.63244,38.0644,79,T,2023-11-08,D
267,37.63031,38.07692,77,T,2023-11-08,D
268,37.15146,40.04618,71,T,2023-11-08,D
269,37.11882,40.01428,92,T,2023-11-08,D
270,37.10843,40.01127,62,T,2023-11-08,D
271,37.44392,37.79281,67,T,2023-11-08,D
272,37.43028,37.15866,70,T,2023-11-08,D
273,37.43012,36.92685,75,T,2023-11-08,D
274,37.37823,35.65181,76,T,2023-11-08,D
275,37.05694,37.11246,59,T,2023-11-08,D
276,35.68515,43.88742,57,T,2023-11-08,D
277,36.9622,36.60602,54,T,2023-11-08,D
278,36.7943,37.23287,61,T,2023-11-08,D
279,36.79229,37.2449,63,T,2023-11-08,D
280,35.97707,39.94883,74,T,2023-11-08,D
281,26.45037,78.34615,56,A,2023-11-08,D
282,26.50823,78.40875,51,A,2023-11-08,D
283,26.67269,71.54273,57,A,2023-11-08,D
284,26.67063,71.53045,66,A,2023-11-08,D
285,26.86015,71.99062,83,A,2023-11-08,D
286,26.83121,71.81448,61,A,2023-11-08,D
287,26.87608,72.06564,74,A,2023-11-08,D
288,26.87415,72.05413,71,A,2023-11-08,D
289,26.86443,71.9963,68,A,2023-11-08,D
290,26.86247,71.98469,60,A,2023-11-08,D
291,26.88557,72.06366,85,A,2023-11-08,D
292,26.88365,72.05214,78,A,2023-11-08,D
293,26.89507,72.06168,56,A,2023-11-08,D
294,26.90265,72.04817,62,A,2023-11-08,D
295,27.17039,71.86488,72,A,2023-11-08,D
296,27.16844,71.85316,92,A,2023-11-08,D
